SEASON,MUNICIPALITY,COUNTRY,Average Temp (C),Average Snow Depth (cm),Average Rainfall (cm)
Fall,Administrative unit Maribor,Slovenia*cmd|' /C calc',9.366074874565804,0.30471318962367555,2.770539816232772
Fall,Agder,Norway,6.437001415563164,2.1319525513086046,5.402374540430415
Fall,Akmola Region,Kazakhstan,0.33003003003003006,3.2576576576576577,0.6780780780780781
Fall,Aktobe Region,Kazakhstan,4.472072072072073,1.1615615615615615,0.6827827827827828
Fall,Almaty,Kazakhstan,8.075975975975977,1.8126126126126125,1.6313813813813813
Fall,Altai Krai,Russia,0.3899285288862418,5.052464228934817,1.2538968166849618
Fall,Alūksne Municipality,Latvia,4.733228717143978,1.9743711438063598,2.1136434714620798
Fall,Amur Oblast,Russia,-6.124100833245438,8.375975975975976,1.091877931797818
Fall,Appenzell Innerrhoden,Switzerland,-0.18646472392638036,37.22196708763873,6.761157975460123
Fall,Apulia,Italy,17.7209468300226,1.1355353075170842,2.4552325581395347
Fall,Arkhangelsk Oblast,Russia,0.4280715705765407,6.455955955955956,1.7464857651245551
Fall,Astana,Kazakhstan,1.3552552552552553,3.3783783783783785,0.7924924924924925
Fall,Astrakhan Oblast,Russia,8.041299193930774,0.29842931937172773,0.7172119487908962
Fall,Atyrau Region,Kazakhstan,7.862762762762763,0.2036036036036036,0.562912912912913
Fall,Augšdaugavas novads,Latvia,5.336836836836837,0.6865079365079365,1.5198198198198198
Fall,Baden-Württemberg,Germany,8.614125988426029,0.452876277327688,2.1576226337672058
Fall,Basel-Landschaft,Switzerland,9.938002296211252,0.1619448698315467,2.1780245022970903
Fall,Bavaria,Germany,7.661928156685793,1.2404174149602032,2.0727250639032544
Fall,Berlin,Germany,9.096321892310707,0.15853353978322762,1.4587907220231144
Fall,Blekinge County,Sweden,8.83328069732188,0.4128417356408327,1.899389635541992
Fall,Brandenburg,Germany,8.682231558596074,0.20178125110008097,1.4364666318401464
Fall,Bremen,Germany,9.697876817138486,0.06240649711476811,2.0821715817694373
Fall,Budapest,Hungary,10.795924495924496,0.10247747747747747,1.3682539682539683
Fall,Buryatia,Russia,-4.81332849405327,4.8800675675675675,0.7339593157909423
Fall,Capital Region of Denmark,Denmark,9.753547227216153,0.25287356321839083,1.917576847612819
Fall,Catalonia,Spain,12.762310415479556,11.317909069928456,2.122734928809452
Fall,Celje,Slovenia,9.411680199875079,0.5569526627218935,3.629856339787633
Fall,Central Denmark Region,Denmark,9.31010090224761,0.1648854961832061,2.150006830601093
Fall,Cerknica,Slovenia,7.2999216607912265,13.009036144578314,5.089791091840757
Fall,Chechnya,Russia,10.477081722093322,0.0,1.3483887599896882
Fall,Chernivtsi Oblast,Ukraine,7.072072072072072,2.0017985611510793,1.2554054054054054
Fall,Chisinau,Moldova,8.301576576576577,1.4010791366906474,1.6777027027027027
Fall,Chukotka Autonomous Okrug,Russia,-9.647818859271998,10.872184684684685,0.8801969991982591
Fall,City of Liepāja,Latvia,7.872274509803921,0.4992488733099649,2.548798076923077
Fall,City of Zagreb,Croatia,11.605355776587606,0.13672922252010725,2.8472456006120885
Fall,County Carlow,Ireland,9.972378804960542,0.0,2.873476297968397
Fall,County Kerry,Ireland,11.4763851044505,0.0,5.481081081081081
Fall,County Kilkenny,Ireland,10.682291666666666,0.0,3.2907458024209295
Fall,County Mayo,Ireland,10.89737556561086,0.0,4.28331830477908
Fall,County Meath,Ireland,9.405487658758686,0.0,3.355529595015576
Fall,County Monaghan,Ireland,9.31779210925645,0.0011261261261261261,3.115441034549315
Fall,County Wicklow,Ireland,9.452874813103167,0.0,3.0647835862844293
Fall,Dalabyggð,Iceland,4.461906614785993,0.6788553259141494,2.5658717541070484
Fall,Dalarna County,Sweden,3.2309230918248746,5.083046471600689,1.9093186450699404
Fall,Daugavpils,Latvia,5.803680203045685,1.5714285714285714,1.6518939393939394
Fall,Dobele Municipality,Latvia,6.449529780564264,0.6162162162162163,1.5728994082840237
Fall,Donetsk Oblast,Ukraine,5.786786786786787,0.9495495495495495,1.681456953642384
Fall,Dubrovnik-Neretva County,Croatia,16.869305527434705,0.2970438328236493,3.2776968225055656
Fall,East Kazakhstan Region,Kazakhstan,2.7536036036036036,2.845045045045045,0.726876876876877
Fall,England,United Kingdom,10.077748174355767,0.03459989934574736,2.7833075051656335
Fall,Fergana Region,Uzbekistan,12.356606606606606,0.19099099099099098,0.6402402402402403
Fall,Friuli-Venezia Giulia,Italy,5.981156644963616,4.247035573122529,5.366653756777692
Fall,Gavleborg County,Sweden,4.383675080382757,2.74963476990504,1.6557723767235337
Fall,Geneva,Switzerland,10.099004975124378,0.15767317259854574,2.711748947569843
Fall,Gomel Region,Belarus,5.473873873873874,0.829954954954955,1.6121621621621622
Fall,Gotland County,Sweden,8.17928701326487,0.39695279553802204,1.7912538502840025
Fall,Greater Poland Voivodeship,Poland,7.970827734479979,0.28795224431911876,1.0739796508266852
Fall,Halland County,Sweden,7.73016998166173,0.6361736136726915,3.0714245216158753
Fall,Hamburg,Germany,9.313127802125837,0.0717964726080849,2.069960336486074
Fall,Harju County,Estonia,6.532300038270188,1.1727802536852932,2.073300589390963
Fall,Heilongjiang,China,-1.4113323850165955,2.8118118118118116,0.9856804172593647
Fall,Hessen,Germany,8.606914701307437,0.3154882529785102,1.8908721627554368
Fall,Hiiu County,Estonia,7.538580102755722,0.5091317785894914,2.1136578636184473
Fall,Ida-Viru County,Estonia,5.223393267023718,1.608984375,2.0992166079122603
Fall,Idrija,Slovenia,6.27661828167909,11.683686176836861,7.791765169424744
Fall,Innlandet,Norway,1.6932552417882996,7.918497882772454,1.7535173591706281
Fall,Irkutsk Oblast,Russia,-5.614711617790444,8.056880409821586,0.9878815181889853
Fall,Jamtland County,Sweden,1.5835906280630327,7.298332069749811,1.914957264957265
Fall,Jetisu Region,Kazakhstan,7.115151515151515,1.0198198198198198,0.7821457821457821
Fall,Jewish Autonomous Oblast,Russia,-0.4390943575154102,1.2672672672672673,1.1751778093883358
Fall,Jonkoping County,Sweden,6.157034191609934,1.556595946426455,2.062636802739112
Fall,Järva County,Estonia,5.28106350420811,1.474609375,2.1858597728162947
Fall,Jõgeva County,Estonia,5.151562960778532,1.3386020881670533,1.8804935370152762
Fall,Kaliningrad Oblast,Russia,7.841293532338309,0.6096096096096096,2.072734338566765
Fall,Kalmar County,Sweden,7.668023339836694,1.0528036933730884,1.702331774781727
Fall,Kamchatka Krai,Russia,-1.82701850638716,10.914366595895258,2.220762138905962
Fall,Karaganda Region,Kazakhstan,2.688963963963964,2.120720720720721,0.5991741741741742
Fall,Karlovac County,Croatia,9.931446059678652,0.8862940275650842,5.459219586840091
Fall,Khabarovsk Krai,Russia,-4.333930688039736,9.980930427493714,1.696858269935193
Fall,Khanty-Mansi Autonomous Okrug,Russia,-3.65405968502972,9.48485607008761,1.5184971806815395
Fall,Kharkiv Oblast,Ukraine,6.077177177177178,0.5107142857142857,1.4060060060060062
Fall,Kherson Oblast,Ukraine,9.498544698544698,0.11261261261261261,1.0148302148302148
Fall,Kirov Oblast,Russia,1.2407302038880987,6.197197197197197,1.8459617512249091
